epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.1424,0.98011,2.3266,1.36319,0.83807,0.36047,0.58413,0.38799,0.89139,2.9057,1.29119,0.00026,0.00026,0.00026
2,181.123,0.96433,1.59851,1.26511,0.94512,0.20036,0.65282,0.39177,1.00652,2.84924,1.47252,0.000518616,0.000518616,0.000518616
3,269.693,1.00941,1.60507,1.30665,0.67062,0.47353,0.54118,0.32466,1.32918,2.6914,1.79741,0.000755056,0.000755056,0.000755056
4,358.692,1.09595,1.54456,1.40709,0.51172,0.32558,0.36009,0.21003,1.66623,2.85656,2.06169,0.00096932,0.00096932,0.00096932
5,445.21,1.11442,1.62873,1.37544,0.60088,0.43023,0.47612,0.24951,1.54067,2.69807,1.98298,0.00116141,0.00116141,0.00116141
6,531.67,1.07676,1.49058,1.38476,0.44409,0.52326,0.46179,0.26223,1.63984,2.67904,2.25689,0.00133132,0.00133132,0.00133132
7,615.918,1.11491,1.56259,1.44178,0.38234,0.46512,0.37521,0.19415,1.78456,3.14175,2.15369,0.00147906,0.00147906,0.00147906
8,698.84,1.15743,1.5381,1.46105,0.50805,0.40698,0.42355,0.19591,1.82036,2.54407,2.1325,0.0014456,0.0014456,0.0014456
9,785.308,1.15454,1.47653,1.4249,0.41331,0.32769,0.33077,0.15316,1.9741,2.83079,2.23071,0.0013664,0.0013664,0.0013664
10,882.01,1.17895,1.5003,1.44361,0.49661,0.46512,0.4356,0.18541,1.75728,3.54941,2.27743,0.0012872,0.0012872,0.0012872
11,971.365,1.14685,1.41226,1.41704,0.69562,0.45178,0.51631,0.28734,1.61477,2.99688,2.10391,0.001208,0.001208,0.001208
12,1056,1.08237,1.38727,1.38648,0.6154,0.4838,0.51112,0.28425,1.56237,2.30969,1.88341,0.0011288,0.0011288,0.0011288
13,1140.22,1.04791,1.27844,1.33805,0.72065,0.54651,0.59431,0.36322,1.34964,2.14232,1.69561,0.0010496,0.0010496,0.0010496
14,1229.52,1.024,1.2532,1.33367,0.75774,0.5092,0.60764,0.39408,1.35579,1.82788,1.72011,0.0009704,0.0009704,0.0009704
15,1313.4,0.95581,1.20977,1.30957,0.69352,0.60465,0.63013,0.37315,1.45945,2.02033,1.96454,0.0008912,0.0008912,0.0008912
16,1398.23,1.02567,1.39591,1.34591,0.4971,0.48837,0.44817,0.20669,1.93948,2.32679,2.7003,0.000812,0.000812,0.000812
17,1486.94,0.96039,1.38555,1.37766,0.49068,0.5,0.45203,0.27282,1.5777,2.07453,2.13293,0.0007328,0.0007328,0.0007328
18,1568.03,0.85677,1.17192,1.28744,0.66755,0.52326,0.59241,0.37563,1.37653,1.90179,1.84925,0.0006536,0.0006536,0.0006536
19,1649.21,0.92914,1.20284,1.31245,0.63597,0.52326,0.57651,0.33597,1.49161,1.9308,1.86086,0.0005744,0.0005744,0.0005744
20,1732.82,0.86527,1.08275,1.32133,0.74362,0.68605,0.7258,0.47181,1.1935,1.54527,1.51269,0.0004952,0.0004952,0.0004952
21,1813.77,0.80788,1.03593,1.23392,0.84647,0.59302,0.71032,0.45163,1.23143,1.63262,1.53389,0.000416,0.000416,0.000416
22,1894.91,0.82101,1.00275,1.25227,0.75883,0.62203,0.67497,0.44323,1.2375,1.62755,1.50215,0.0003368,0.0003368,0.0003368
23,1976.5,0.82512,1.02846,1.29924,0.8746,0.61628,0.70567,0.48374,1.13082,1.48557,1.41042,0.0002576,0.0002576,0.0002576
24,2076.55,0.80004,0.91375,1.21921,0.80575,0.66279,0.73052,0.49784,1.1348,1.41624,1.42287,0.0001784,0.0001784,0.0001784
25,2169.72,0.74479,0.88525,1.19498,0.74813,0.72534,0.71995,0.49591,1.13738,1.39956,1.41937,9.92e-05,9.92e-05,9.92e-05
